Maintenance_ID,Aircraft_ID,Aircraft_Type,Maintenance_Type,Maintenance_Category,Scheduled_Date,Actual_Start_Date,Completion_Date,Budgeted_Cost,Actual_Cost,Labor_Hours,Parts_Cost,Vendor,Priority,Status,Location,Downtime_Hours,Technician_Count,Cost_Variance,Cost_Variance_Percent
M2624,A25,,scheduled,,2023-03-12,,,,44740.0,110.0,32764.0,,Medium,,LosAngeles,42.0,2.0,,
M1104,A36,,Unscheduled,Engine,2024-03-10,2024-03-14,2024-03-19,105815.0,92598.0,73.0,,inhouse,,,,,5.0,,
M813,A39,,Emergency,LandingGear,2024-07-30,,,,91984.0,113.0,68155.0,V-A,Medium,,Frankfurt,56.0,,-15546.0,-14.46
M1633,A54,B737,Emergency,Engine,2022-08-31,,2022-09-02,108759.0,,38.0,,V-A,Low,,,7.0,10.0,,
M1129,A42,,Emergency,Hydraulics,2023-12-15,2023-12-24,2023-12-27,49792.0,55636.0,81.0,21787.0,V-A,High,Cancelled,Toronto,38.0,6.0,5844.0,11.74
M1413,A43,B787,,Avionics,2024-09-15,2024-09-15,2024-09-15,,20870.0,,80793.0,,Critical,completed,Chennai,135.0,4.0,,-14.81
M713,A02,A350,Scheduled,Structure,2024-05-07,2024-05-09,,58415.0,45248.0,202.0,78763.0,,Critical,,Tokyo,,2.0,-13167.0,
M3003,A56,A-320,Unscheduled,Hydraulics,2022-01-02,,2022-01-14,105614.0,,100.0,,V-A,Medium,Delayed,Frankfurt,,6.0,-8372.0,
M178,A34,B787,scheduled,Structure,,,,63196.0,,,29971.0,InHouse,Medium,,Frankfurt,133.0,3.0,6859.0,
M4281,A35,,Scheduled,Hydraulics,2023-12-16,2023-12-15,,23493.0,,,33348.0,,Low,,Chennai,130.0,,260.0,1.11
M4462,A35,A320,,Engine,,2023-04-12,,89097.0,,9.0,72162.0,,,Delayed,NewYork,,,5975.0,6.71
M1245,A16,B737,Emergency,,2023-05-02,2023-05-12,2023-05-12,94582.0,80325.0,,67983.0,V-A,,Delayed,Toronto,,,,
M1449,A07,B737,Unscheduled,,2023-05-24,,2023-05-31,,159787.0,60.0,,V-A,,completed,Amsterdam,,7.0,,48.56
M3783,A42,A320,,Avionics,2024-09-23,,,87649.0,99904.0,35.0,88690.0,inhouse,,Completed,,,5.0,,13.98
M4680,A56,B777,Preventive,,2023-04-02,2023-04-12,,67128.0,,28.0,,,Critical,Delayed,Mumbai,109.0,,-14196.0,
M1118,A16,B737,scheduled,,,2023-06-17,,65765.0,,144.0,,V-B,Critical,Delayed,Amsterdam,,2.0,,33.91
M4795,A58,b737,Scheduled,Avionics,,2023-08-03,2023-08-07,,119451.0,145.0,21978.0,,Low,Delayed,,76.0,,18086.0,17.84
M2164,A10,A350,,,,,2023-02-12,139387.0,186404.0,169.0,50500.0,V-C,,,NewYork,,,,
M788,A02,B737,scheduled,Avionics,2023-01-13,2023-01-11,,44338.0,63381.0,,42039.0,,Medium,InProgress,,13.0,3.0,,
M625,A60,B787,scheduled,Engine,2024-08-02,2024-08-14,,,128911.0,,45987.0,InHouse,,,Chennai,116.0,4.0,,39.75
M4458,A46,B737,Unscheduled,LandingGear,,2023-01-31,2023-02-04,,105934.0,184.0,67900.0,,,completed,Toronto,76.0,1.0,,
M347,A38,B777,,,2023-10-20,,,142840.0,171290.0,61.0,80423.0,V-A,,InProgress,Singapore,130.0,2.0,28450.0,
M1026,A52,,Unscheduled,Structure,,2024-06-21,,,,,63688.0,InHouse,,Completed,Chicago,104.0,9.0,26756.0,38.85
M4115,A28,A-320,,LandingGear,2022-06-09,2022-06-18,2022-06-19,,37263.0,140.0,28644.0,InHouse,,InProgress,Mumbai,64.0,1.0,-1159.0,
M4454,A20,b737,,,2022-11-01,2022-11-13,,114074.0,140761.0,37.0,,V-C,Low,,Paris,79.0,,,23.39
M795,A48,A-320,Preventive,LandingGear,2022-03-17,2022-03-25,2022-03-29,112184.0,,,63535.0,V-B,,completed,Mumbai,135.0,2.0,22960.0,20.47
M4399,A03,B787,scheduled,,,2022-11-05,,28178.0,,,,V-A,High,,Chicago,80.0,,1319.0,
M1515,A34,A320,,Engine,2022-03-20,2022-03-23,2022-03-27,,82884.0,125.0,22819.0,inhouse,Low,completed,Tokyo,5.0,,-11435.0,-12.12
M4673,A04,A320,Preventive,Engine,2022-09-24,2022-10-02,2022-10-06,115243.0,152817.0,,,V-A,Critical,completed,Mumbai,100.0,6.0,,32.6
M1877,A60,A350,Emergency,Hydraulics,2022-04-26,2022-05-05,2022-05-10,,99990.0,11.0,33801.0,InHouse,Medium,Cancelled,Amsterdam,149.0,7.0,-15503.0,
M374,A42,A350,Scheduled,Structure,2023-09-20,2023-09-18,2023-09-23,,,133.0,15833.0,,,Cancelled,Paris,87.0,8.0,,7.08
M3259,A16,B787,Preventive,LandingGear,,2023-04-10,2023-04-15,8736.0,12606.0,112.0,24385.0,InHouse,Critical,Completed,Amsterdam,7.0,6.0,3870.0,
M1182,A21,A-320,Preventive,Structure,2023-06-16,2023-06-21,2023-06-25,,,78.0,,,Critical,,Atlanta,,9.0,-25884.0,-28.75
M1088,A54,,,Hydraulics,2022-12-30,,,93794.0,96835.0,,,V-A,Critical,completed,Chicago,126.0,8.0,3041.0,3.24
M965,A19,,Scheduled,Electrical,2024-07-15,,2024-07-31,93767.0,118416.0,,20925.0,,,Completed,Amsterdam,109.0,3.0,24649.0,26.29
M3341,A57,,Scheduled,LandingGear,,,2023-10-16,77996.0,88834.0,22.0,23421.0,inhouse,,Cancelled,,,,10838.0,13.9
M2226,A48,b737,,Electrical,2023-12-08,2023-12-19,2023-12-19,,13873.0,,2166.0,V-A,,Completed,Atlanta,17.0,,,
M1372,A09,B787,Preventive,Structure,2022-05-30,2022-06-03,,,,60.0,76447.0,inhouse,Medium,Completed,,45.0,2.0,9139.0,10.04
M1394,A17,,Preventive,,2023-01-20,2023-01-22,2023-01-26,89017.0,111100.0,54.0,1197.0,,High,InProgress,,,,22083.0,24.81
M409,A31,B787,Emergency,Hydraulics,,,2024-03-10,124022.0,137680.0,,39616.0,,,Completed,Tokyo,82.0,,,11.01
M3539,A19,b737,Emergency,,2023-07-10,,2023-07-10,,108044.0,,52053.0,V-A,Low,Delayed,,,6.0,,23.56
M1894,A31,b737,Unscheduled,Engine,2022-08-09,2022-08-21,,117405.0,124714.0,127.0,87096.0,V-B,,Completed,Tokyo,51.0,5.0,,6.23
M4950,A13,B787,Unscheduled,,2024-09-06,,2024-09-19,13939.0,,,,V-B,Critical,InProgress,,132.0,9.0,5335.0,
M3656,A31,B777,Scheduled,,2024-07-16,,2024-07-28,147423.0,213991.0,19.0,29565.0,V-A,Medium,Completed,Dallas,,7.0,,
M2690,A21,B787,,,2024-05-19,2024-05-18,,,84729.0,8.0,6358.0,V-A,Critical,completed,Singapore,,,-21486.0,-20.23
M3671,A60,B737,,Engine,2023-12-02,2023-12-08,2023-12-14,,,13.0,69131.0,,,Delayed,NewYork,12.0,,,-10.4
M1893,A30,A350,,LandingGear,,2022-05-24,2022-05-24,,,171.0,13182.0,,Low,,,,,,26.21
