Maintenance_ID,Aircraft_ID,Aircraft_Type,Maintenance_Type,Maintenance_Category,Scheduled_Date,Actual_Start_Date,Completion_Date,Budgeted_Cost,Actual_Cost,Labor_Hours,Parts_Cost,Vendor,Priority,Status,Location,Downtime_Hours,Technician_Count,Cost_Variance,Cost_Variance_Percent,Maintenance_Duration,Delay_Flag,High_Cost_Flag,Maintenance_Year,Maintenance_Month
M1104,A36,B737,Unscheduled,Engine,2024-03-10,2024-03-14,2024-03-19,105815.0,92598.0,73.0,46308.978087649404,inhouse,High,completed,Dallas,76.25535055350554,5.0,-13217.0,-12.490667674715306,5,Yes,Yes,2024,3
M813,A39,B737,Emergency,LandingGear,2024-07-30,2024-07-30,2024-07-31,78913.65527065528,91984.0,56.0,68155.0,V-A,Medium,completed,Frankfurt,56.0,5.559125085440875,13070.344729344724,16.562842874932755,1,No,Yes,2024,7
M1633,A54,B737,Emergency,Engine,2022-08-31,2022-08-31,2022-09-02,108759.0,85239.29113067027,7.0,46308.978087649404,V-A,Low,completed,Dallas,7.0,7.0,-23519.708869329726,-21.625528801597778,2,No,No,2022,8
M1129,A42,B737,Emergency,Hydraulics,2023-12-15,2023-12-24,2023-12-27,49792.0,55636.0,38.0,21787.0,V-A,High,Cancelled,Toronto,38.0,6.0,5844.0,11.736825192802057,3,Yes,No,2023,12
M1413,A43,B787,scheduled,Avionics,2024-09-15,2024-09-15,2024-09-15,78913.65527065528,20870.0,110.74154067674586,80793.0,InHouse,Critical,completed,Chennai,135.0,4.0,-58043.655270655276,-73.55337307792826,0,No,No,2024,9
M713,A02,A350,Scheduled,Structure,2024-05-07,2024-05-09,2024-05-10,58415.0,45248.0,76.25535055350554,78763.0,InHouse,Critical,completed,Tokyo,76.25535055350554,2.0,-13167.0,-22.540443379269025,1,Yes,No,2024,5
M3003,A56,A-320,Unscheduled,Hydraulics,2022-01-02,2022-01-02,2022-01-14,105614.0,85239.29113067027,76.25535055350554,46308.978087649404,V-A,Medium,Delayed,Frankfurt,76.25535055350554,6.0,-20374.708869329726,-19.291674275502988,12,No,No,2022,1
M4281,A35,B737,Scheduled,Hydraulics,2023-12-16,2023-12-16,2023-12-16,23493.0,85239.29113067027,110.74154067674586,33348.0,InHouse,Low,completed,Chennai,130.0,5.559125085440875,61746.29113067027,262.8284643539364,0,No,No,2023,12
M3783,A42,A320,scheduled,Avionics,2024-09-23,2024-09-23,2024-09-24,87649.0,99904.0,35.0,88690.0,inhouse,High,Completed,Dallas,76.25535055350554,5.0,12255.0,13.981905098746136,1,No,Yes,2024,9
M788,A02,B737,scheduled,Avionics,2023-01-13,2023-01-13,2023-01-13,44338.0,63381.0,13.0,42039.0,InHouse,Medium,InProgress,Dallas,13.0,3.0,19043.0,42.94961432631151,0,No,No,2023,1
